,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
82,3812581677,Мск,2020-07-25T18:08:31Z,Ride,73248.9,14496,20636,242.9,"[55.636441, 37.697213]",41E47756-BDEC-490A-859E-A36763907EE6-activity.fit
83,3802968143,Вечерний велозаезд по Москве по Фрунзенской набережной,2020-07-22T18:01:33Z,Ride,29625.8,6998,9981,182.3,"[55.678778, 37.664259]",3228F363-27CD-4F23-AA5E-595BD0004ABD-activity.fit
84,3796270918,Сортавала - Рускеала - Сортавала,2020-07-21T11:09:20Z,Ride,79518.7,17919,30537,908.3,"[61.693766, 30.672625]",C83D9808-2CD2-4FB3-89B3-B656FAC4AF1C-activity.fit
85,3793372039,Утренний велозаезд утром рано на электричку,2020-07-21T05:30:02Z,Ride,4769.2,1073,1802,24.8,"[59.957217, 30.357264]",3A3D7ACC-69C4-4403-BE1C-57E932BA9D73-activity.fit
86,3792845535,Спб,2020-07-20T11:13:59Z,Ride,63774.2,21075,54447,356.2,"[59.948842, 30.408847]",236BB039-8BD0-4F8D-93F3-3739B5F49BCE-activity.fit
87,3788842882,Ночной велозаезд по спб,2020-07-19T21:15:49Z,Ride,5035.3,1444,42455,61.3,"[59.923272, 30.306951]",3A7105E5-8D3E-493C-A23D-67643F6C7D82-activity.fit
88,3786996344,Павловск и Царское село до Пулковских высот,2020-07-19T15:17:46Z,Ride,35482.2,11435,18624,245.1,"[59.813888, 30.32246]",3A682643-A2B0-45AA-A1FA-AEE8940F2FF6-activity.fit
89,3784976919,Дневной велозаезд по Спб,2020-07-19T11:30:55Z,Ride,17453.4,4494,11551,131.9,"[59.917924, 30.330766]",D62FE08A-65BF-4492-93A1-233A39808356-activity.fit
90,3783418901,Утренний велозаезд от озера Комсомольское до электрички,2020-07-19T08:05:45Z,Ride,10716.5,2570,3075,87.0,"[60.824672, 30.129612]",04036978-4800-49AC-81EF-78F3E75B1257-activity.fit
91,3781962682,Выборг - Вуокса,2020-07-18T08:50:35Z,Ride,123583.0,26067,45909,1283.0,"[60.838933, 29.97225]",2C5567F0-DBE2-4AD7-8B7C-01DF1DE3B49B-activity.fit
